"REF_DATE","GEO","DGUID","Gender (3)","Marital status (13)","Age (16)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Widowed","80 to 84 years","","0","units","0","","44.1.8.15","300","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Living common law - Widowed","85 years and over","","0","units","0","","44.1.8.16","165","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Not married and not living common-law","Total - Age","","0","units","0","","44.1.9.1","490925","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Not married and not living common-law","15 to 19 years","","0","units","0","","44.1.9.2","82925","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Not married and not living common-law","20 to 24 years","","0","units","0","","44.1.9.3","80735","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Not married and not living common-law","25 to 29 years","","0","units","0","","44.1.9.4","56920","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Not married and not living common-law","30 to 34 years","","0","units","0","","44.1.9.5","33495","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Not married and not living common-law","35 to 39 years","","0","units","0","","44.1.9.6","24495","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Not married and not living common-law","40 to 44 years","","0","units","0","","44.1.9.7","21610","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Not married and not living common-law","45 to 49 years","","0","units","0","","44.1.9.8","21900","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Not married and not living common-law","50 to 54 years","","0","units","0","","44.1.9.9","23940","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Not married and not living common-law","55 to 59 years","","0","units","0","","44.1.9.10","28040","","","","0"
