"REF_DATE","GEO","DGUID","Gender (3a)","Census year (4)","Marital status (13)","Age (16)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Separated","75 to 79 years","","0","units","0","","26.1.2.6.14","20","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Separated","80 to 84 years","","0","units","0","","26.1.2.6.15","10","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Divorced","Total - Age","","0","units","0","","26.1.2.7.1","8505","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Divorced","15 to 19 years","","0","units","0","","26.1.2.7.2","0","...","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Divorced","20 to 24 years","","0","units","0","","26.1.2.7.3","10","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Divorced","25 to 29 years","","0","units","0","","26.1.2.7.4","85","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Divorced","30 to 34 years","","0","units","0","","26.1.2.7.5","385","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Divorced","35 to 39 years","","0","units","0","","26.1.2.7.6","690","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Divorced","40 to 44 years","","0","units","0","","26.1.2.7.7","1000","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Divorced","45 to 49 years","","0","units","0","","26.1.2.7.8","1225","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Divorced","50 to 54 years","","0","units","0","","26.1.2.7.9","1565","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Divorced","55 to 59 years","","0","units","0","","26.1.2.7.10","1395","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Divorced","60 to 64 years","","0","units","0","","26.1.2.7.11","1000","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Divorced","65 to 69 years","","0","units","0","","26.1.2.7.12","670","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Divorced","70 to 74 years","","0","units","0","","26.1.2.7.13","305","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Divorced","75 to 79 years","","0","units","0","","26.1.2.7.14","115","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Divorced","80 to 84 years","","0","units","0","","26.1.2.7.15","50","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Divorced","85 years and over","","0","units","0","","26.1.2.7.16","25","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Widowed","Total - Age","","0","units","0","","26.1.2.8.1","830","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Widowed","15 to 19 years","","0","units","0","","26.1.2.8.2","0","...","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Widowed","30 to 34 years","","0","units","0","","26.1.2.8.5","5","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Widowed","35 to 39 years","","0","units","0","","26.1.2.8.6","15","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Widowed","40 to 44 years","","0","units","0","","26.1.2.8.7","35","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Widowed","45 to 49 years","","0","units","0","","26.1.2.8.8","45","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Widowed","50 to 54 years","","0","units","0","","26.1.2.8.9","105","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Widowed","55 to 59 years","","0","units","0","","26.1.2.8.10","110","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Widowed","60 to 64 years","","0","units","0","","26.1.2.8.11","110","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Widowed","65 to 69 years","","0","units","0","","26.1.2.8.12","125","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Widowed","70 to 74 years","","0","units","0","","26.1.2.8.13","105","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Widowed","75 to 79 years","","0","units","0","","26.1.2.8.14","85","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Widowed","80 to 84 years","","0","units","0","","26.1.2.8.15","60","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Widowed","85 years and over","","0","units","0","","26.1.2.8.16","35","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Not married and not living common-law","Total - Age","","0","units","0","","26.1.2.9.1","180400","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Not married and not living common-law","15 to 19 years","","0","units","0","","26.1.2.9.2","32445","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Not married and not living common-law","20 to 24 years","","0","units","0","","26.1.2.9.3","34030","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Not married and not living common-law","25 to 29 years","","0","units","0","","26.1.2.9.4","20035","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Not married and not living common-law","30 to 34 years","","0","units","0","","26.1.2.9.5","11530","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Not married and not living common-law","35 to 39 years","","0","units","0","","26.1.2.9.6","8725","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Not married and not living common-law","40 to 44 years","","0","units","0","","26.1.2.9.7","8510","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Not married and not living common-law","45 to 49 years","","0","units","0","","26.1.2.9.8","9270","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Not married and not living common-law","50 to 54 years","","0","units","0","","26.1.2.9.9","10445","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Not married and not living common-law","55 to 59 years","","0","units","0","","26.1.2.9.10","9095","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Not married and not living common-law","60 to 64 years","","0","units","0","","26.1.2.9.11","7800","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Not married and not living common-law","65 to 69 years","","0","units","0","","26.1.2.9.12","6965","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Not married and not living common-law","70 to 74 years","","0","units","0","","26.1.2.9.13","5400","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Not married and not living common-law","75 to 79 years","","0","units","0","","26.1.2.9.14","4700","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Not married and not living common-law","80 to 84 years","","0","units","0","","26.1.2.9.15","4590","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Not married and not living common-law","85 years and over","","0","units","0","","26.1.2.9.16","6855","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Not married and not living common law - Never married","Total - Age","","0","units","0","","26.1.2.10.1","121590","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Not married and not living common law - Never married","15 to 19 years","","0","units","0","","26.1.2.10.2","32440","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Not married and not living common law - Never married","20 to 24 years","","0","units","0","","26.1.2.10.3","33885","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Not married and not living common law - Never married","25 to 29 years","","0","units","0","","26.1.2.10.4","19425","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Not married and not living common law - Never married","30 to 34 years","","0","units","0","","26.1.2.10.5","9975","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Not married and not living common law - Never married","35 to 39 years","","0","units","0","","26.1.2.10.6","6030","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Not married and not living common law - Never married","40 to 44 years","","0","units","0","","26.1.2.10.7","4540","","","","0"
